Username,Owner,Followers (millions),Description
@elonmusk,Elon Musk,195.8,Business magnate and owner of X,
@BarackObama,Barack Obama,131.8,44th President of the United States,
@Cristiano,Cristiano Ronaldo,112.7,Football player,
@justinbieber,Justin Bieber,110.3,Musician,
@rihanna,Rihanna,108.2,Musician,
@katyperry,Katy Perry,106.1,Musician,
@narendramodi,Narendra Modi,101.4,14th Prime Minister of India,
@taylorswift13,Taylor Swift,95.2,Musician,
@realDonaldTrump,Donald Trump,90,45th President of the United States,
@ladygaga,Lady Gaga,83,Musician and actress,
@NASA,NASA,82.3,Space agency,
@YouTube,YouTube,79.7,Online video sharing platform,
@KimKardashian,Kim Kardashian,75.2,Television personality,
@EllenDeGeneres,Ellen DeGeneres,73.9,Comedian and television host,
@X,X(social media),68.3,Operator of platform,
@selenagomez,Selena Gomez,65.9,Musician and actress,
@BillGates,Bill Gates,65.4,Businessman and philanthropist,
@imVkohli,Virat Kohli,64.7,Cricket player,
@cnnbrk,CNN Breaking News,63.9,News channel,
@neymarjr,Neymar,63.7,Football player,
@CNN,CNN,62.7,News channel,
@jtimberlake,Justin Timberlake,60.5,Musician and actor,
@PMOIndia,PMO India,56.6,Office of the Prime Minister of India,
@nytimes,The New York Times,55.3,Newspaper,
@britneyspears,Britney Spears,54.5,Musician,
@espn,ESPN,53.4,Sports channel,
@shakira,Shakira,53.3,Musician,
@KingJames,LeBron James,53,Basketball player,
@ddlovato,Demi Lovato,52.3,Musician and actress,
@ChampionsLeague,UEFA Champions League,52.2,Football league,
@BBCBreaking,BBC Breaking News,51.8,News channel,
@realmadrid,Real Madrid CF,51.4,Football club,
@jimmyfallon,Jimmy Fallon,49.6,Comedian and television host,
@FCBarcelona,FC Barcelona,49,Football club,
@SrBachchan,Amitabh Bachchan,48.9,Actor
@BTS_twt,BTS,48.6,Musicians,
@akshaykumar,Akshay Kumar,46.8,Actor,
@NBA,NBA,46.8,Basketball league,
@MileyCyrus,Miley Cyrus,46,Musician and actress,
@BeingSalmanKhan,Salman Khan,45.6,Actor,
@bts_bighit,BTS,44.6,Musicians,
@JLo,Jennifer Lopez,44.4,Musician and actress,
@premierleague,Premier League,44.3,Football league,
@iamsrk,Shah Rukh Khan,44.1,Actor
@SportsCenter,SportsCenter,43.6,Sports channel,
@BrunoMars,Bruno Mars,42.2,Musician,
@Oprah,Oprah Winfrey,41.5,Television personality,
@BBCWorld,BBC World News,41,News channel,
@sachin_rt,Sachin Tendulkar,40.3,Former cricket player,
@NiallOfficial,Niall Horan,39.8,Musician,
